154	
156	
400	450
271	11
400	451
700	701
271	12
600	
500	10
300	
155	
271	13
300	
150	
271	14
800	801
500	5
800	802
300	
271	13
600	
271	15
400	450
500	5
400	451
300	
154	
400	450
271	13
200	502
500	10
400	451
271	14
800	801
500	2
800	802
600	
271	16
300	
152	
271	14
800	801
500	2
800	802
600	
271	17
300	
271	18
600	
500	14.5
300	
700	702
155	
271	15
400	450
155	
271	19
400	451
700	701
271	20
600	
500	485.5
270	279
500	890.9
300	
157	
500	2
300	
271	19
300	
271	21
600	
500	15
300	
271	22
600	
500	16
300	
700	702
